Nama,Closeness
PT SCHNEIDER INDONESIA,1.0
ARIF SASMITO,1.0
PT DJAKARTA GLOBAL SOLUSINDO,1.0
BASF,1.0
PT BASF INDONESIA,1.0
HENDRY YANTO,1.0
PT PETRO PUTRA PERKASA,1.0
DACHSER,1.0
PT DACHSER INDONESIA,1.0
GARRY,1.0
PT WARNA MAKMUR ABADI,1.0
CASIUTY WIDJAYA,1.0
PT KORMAN INDO EXPRESS,1.0
JONG ANN CLAUDYA,1.0
PT SURYA KENCANA MANUNGGAL,1.0
LONG CHUANTAO,1.0
SMCGC KONSTRUKSI INDONESIA,1.0
