Nama,PageRank
PT TELEFAST INDONESIA TBK,0.32
PT COMETA CAN,0.32
MEGAPOLITAN DEVELOPMENTS TBK,0.32
CITA MINERAL INVESTINDO TBK,0.32
CITRA MARGA NUSAPHALA PERSADA TBK,0.32
BAKRIE SUMATERA PLANTATIONS TBK,0.32
ONIX CAPITAL TBK,0.32
PT FALMACO NONWOVEN INDUSTRI TBK,0.32
SARANA MENARA NUSANTARA TBK,0.32
PT ARTHA MAHIYA INVESTAMA TBK,0.32
PT TRANSKON JAYA TBK,0.32
PT BUKIT PRIMA BAHARI,0.32
PT FUJIFILM INDONESIA,0.32
PT SURYA PERTIWI NUSANTARA,0.32
PT PATRA DRILLING CONTRACTOR,0.32
PT BINTANG DWI LESTARI,0.32
PT CREATIVE SOFTHOUSE,0.32
PT TRIXINDO SELARAS,0.32
PT MERCK SHARP DOHME PHARMA TBK,0.32
PT JAYA YASUDA INDONESIA,0.32
PT UNICHARM NONWOVEN INDONESIA,0.32
PT UNICHARM TRADING INDONESIA,0.32
PT BUKALAPAK.COM TBK,0.32
PT MEGAH SURYA PERTIWI,0.31
PT WEHA TRANSPORTASI INDONESIA TBK,0.31
PT FORMOSA INGREDIENT FACTORY TBK,0.31
PT BUDI STARCH & SWEETENER TBK,0.31
TUNAS BARU LAMPUNG TBK,0.31
PT WALSIN LIPPO INDUSTRIES,0.31
PT LAUTAN LUAS TBK,0.31
PT CEMINDO GEMILANG TBK,0.31
PT MNC INFRASTRUKTUR UTAMA,0.31
PT EPID MENARA ASSETCO,0.31
PT BHUMI SATU INTI,0.31
PT REKADAYA ELEKTRIKA,0.31
PT ANEKA SATWITRA SARI FOOD,0.31
PT BINTANG OTO GLOBAL TBK,0.31
PT SUNGAI DANAU JAYA,0.31
PT JEMBAYAN MUARABARA,0.31
PT HONGXIN ALGAE INTERNATIONAL,0.31
KMI WIRE AND CABLE TBK,0.31
PT DIGI BINTANG SINERGI,0.31
PT SUNTORY GARUDA BEVERAGE,0.31
PT EMESEN PROPERTI,0.31
